2020-08-25 17:16:11,419 : Key.enter
2020-08-25 17:16:13,488 : 'h'
2020-08-25 17:16:13,610 : 'e'
2020-08-25 17:16:13,730 : 'l'
2020-08-25 17:16:13,916 : 'l'
2020-08-25 17:16:14,093 : 'o'
2020-08-25 17:16:14,271 : Key.space
2020-08-25 17:16:15,032 : 'i'
2020-08-25 17:16:15,913 : Key.space
2020-08-25 17:16:16,091 : 'a'
2020-08-25 17:16:16,203 : 'm'
2020-08-25 17:16:16,349 : Key.space
2020-08-25 17:16:17,142 : 'v'
2020-08-25 17:16:17,415 : 'e'
2020-08-25 17:16:17,525 : 'r'
2020-08-25 17:16:17,832 : 'y'
2020-08-25 17:16:18,053 : Key.space
2020-08-25 17:16:18,933 : 'h'
2020-08-25 17:16:19,066 : 'a'
2020-08-25 17:16:19,191 : 'p'
2020-08-25 17:16:19,329 : 'p'
2020-08-25 17:16:19,660 : 'y'
2020-08-25 17:16:20,253 : Key.space
2020-08-25 17:16:20,391 : 'a'
2020-08-25 17:16:20,632 : 'n'
2020-08-25 17:16:20,811 : 'd'
2020-08-25 17:16:20,971 : Key.space
2020-08-25 17:16:22,301 : 't'
2020-08-25 17:16:22,446 : 'h'
2020-08-25 17:16:22,565 : 'i'
2020-08-25 17:16:22,805 : 's'
2020-08-25 17:16:22,990 : Key.space
2020-08-25 17:16:24,424 : 'i'
2020-08-25 17:16:24,616 : 's'
2020-08-25 17:16:25,030 : Key.space
2020-08-25 17:16:26,969 : 'e'
2020-08-25 17:16:27,311 : 'x'
2020-08-25 17:16:27,594 : 'c'
2020-08-25 17:16:27,876 : 'i'
2020-08-25 17:16:28,530 : 't'
2020-08-25 17:16:28,628 : 'i'
2020-08-25 17:16:28,787 : 'n'
2020-08-25 17:16:28,887 : 'g'
2020-08-25 17:16:29,909 : '.'
